metric,baseline,new,delta (new - base)
Simulation end time (s),3599.0,3599.0,0.0
Total arrived vehicles,1647.0,1680.0,33.0
Total teleports,58.0,62.0,4.0
Vehicles still running at end,129.0,138.0,9.0
Vehicles waiting at end,3916.0,3874.0,-42.0
Avg. mean speed over steps (m/s),1.3233,1.3689944444444442,0.04569444444444426
Mean travel time at end (s),222.94,138.84,-84.1
Avg. mean waiting time over steps (s),359.35250833333333,357.3089333333333,-2.0435750000000326
# summary steps,3600.0,3600.0,0.0
Detector interval rows,996.0,996.0,0.0
Detector count,19.0,19.0,0.0
Total nVehEntered across detectors,3986.0,4035.0,49.0
Total nVehContrib across detectors,3947.0,4000.0,53.0
Avg detector speed over intervals (m/s),7.496237006237009,6.9791260162601665,-0.5171109899768425
