id,nVehEntered_base,nVehContrib_base,flow_base,nVehEntered_new,nVehContrib_new,flow_new,delta_nVehEntered,delta_nVehContrib,delta_flow
loop_-1088700963_0,1008.0,1008.0,60480.0,924.0,923.0,55380.0,-84.0,-85.0,-5100.0
loop_-1286470869#1_0,786.0,786.0,47160.0,724.0,724.0,43440.0,-62.0,-62.0,-3720.0
loop_-13718894_0,106.0,103.0,6180.0,139.0,135.0,8100.0,33.0,32.0,1920.0
loop_-13718894_1,72.0,70.0,4200.0,75.0,74.0,4440.0,3.0,4.0,240.0
loop_-624523286_0,11.0,1.0,12.0,5.0,1.0,12.0,-6.0,0.0,0.0
loop_-7637536#1_0,46.0,40.0,2400.0,44.0,36.0,2160.0,-2.0,-4.0,-240.0
loop_119880451_0,344.0,344.0,4128.0,342.0,342.0,4104.0,-2.0,-2.0,-24.0
loop_119880453#0_0,84.0,84.0,5040.0,109.0,109.0,6540.0,25.0,25.0,1500.0
loop_1246214209#0_0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
loop_1246214209#0_1,23.0,22.0,1320.0,28.0,28.0,1680.0,5.0,6.0,360.0
loop_1246214209#0_2,8.0,8.0,480.0,12.0,12.0,720.0,4.0,4.0,240.0
loop_1286470869#0_0,278.0,278.0,16680.0,335.0,335.0,20100.0,57.0,57.0,3420.0
loop_624515490#0_0,48.0,45.0,2700.0,45.0,44.0,2640.0,-3.0,-1.0,-60.0
loop_624515490#0_1,3.0,1.0,60.0,13.0,8.0,480.0,10.0,7.0,420.0
loop_624515490#0_2,64.0,56.0,3360.0,77.0,68.0,4080.0,13.0,12.0,720.0
loop_624515490#0_3,32.0,32.0,1920.0,39.0,38.0,2280.0,7.0,6.0,360.0
loop_624523286_1,372.0,370.0,4440.0,435.0,434.0,5208.0,63.0,64.0,768.0
loop_867177333_0,406.0,405.0,24300.0,420.0,420.0,25200.0,14.0,15.0,900.0
loop_867177333_1,294.0,294.0,17640.0,269.0,269.0,16140.0,-25.0,-25.0,-1500.0
