id,nVehEntered_base,nVehContrib_base,flow_base,nVehEntered_new,nVehContrib_new,flow_new,delta_nVehEntered,delta_nVehContrib,delta_flow
loop_-1088700963_0,1008.0,1008.0,60480.0,1161.0,1161.0,69660.0,153.0,153.0,9180.0
loop_-1286470869#1_0,786.0,786.0,47160.0,912.0,911.0,54660.0,126.0,125.0,7500.0
loop_-13718894_0,106.0,103.0,6180.0,98.0,96.0,5760.0,-8.0,-7.0,-420.0
loop_-13718894_1,72.0,70.0,4200.0,59.0,55.0,3300.0,-13.0,-15.0,-900.0
loop_-624523286_0,11.0,1.0,12.0,3.0,2.0,24.0,-8.0,1.0,12.0
loop_-7637536#1_0,46.0,40.0,2400.0,43.0,35.0,2100.0,-3.0,-5.0,-300.0
loop_119880451_0,344.0,344.0,4128.0,298.0,298.0,3576.0,-46.0,-46.0,-552.0
loop_119880453#0_0,84.0,84.0,5040.0,74.0,74.0,4440.0,-10.0,-10.0,-600.0
loop_1246214209#0_0,1.0,0.0,0.0,1.0,1.0,60.0,0.0,1.0,60.0
loop_1246214209#0_1,23.0,22.0,1320.0,18.0,17.0,1020.0,-5.0,-5.0,-300.0
loop_1246214209#0_2,8.0,8.0,480.0,9.0,9.0,540.0,1.0,1.0,60.0
loop_1286470869#0_0,278.0,278.0,16680.0,100.0,100.0,6000.0,-178.0,-178.0,-10680.0
loop_624515490#0_0,48.0,45.0,2700.0,46.0,44.0,2640.0,-2.0,-1.0,-60.0
loop_624515490#0_1,3.0,1.0,60.0,7.0,5.0,300.0,4.0,4.0,240.0
loop_624515490#0_2,64.0,56.0,3360.0,50.0,45.0,2700.0,-14.0,-11.0,-660.0
loop_624515490#0_3,32.0,32.0,1920.0,25.0,25.0,1500.0,-7.0,-7.0,-420.0
loop_624523286_1,372.0,370.0,4440.0,49.0,48.0,576.0,-323.0,-322.0,-3864.0
loop_867177333_0,406.0,405.0,24300.0,311.0,311.0,18660.0,-95.0,-94.0,-5640.0
loop_867177333_1,294.0,294.0,17640.0,309.0,309.0,18540.0,15.0,15.0,900.0
