id,nVehEntered_base,nVehContrib_base,flow_base,nVehEntered_new,nVehContrib_new,flow_new,delta_nVehEntered,delta_nVehContrib,delta_flow
loop_-1088700963_0,1008.0,1008.0,60480.0,401.0,401.0,24060.0,-607.0,-607.0,-36420.0
loop_-1286470869#1_0,786.0,786.0,47160.0,345.0,345.0,20700.0,-441.0,-441.0,-26460.0
loop_-13718894_0,106.0,103.0,6180.0,130.0,129.0,7740.0,24.0,26.0,1560.0
loop_-13718894_1,72.0,70.0,4200.0,66.0,63.0,3780.0,-6.0,-7.0,-420.0
loop_-624523286_0,11.0,1.0,12.0,214.0,193.0,2316.0,203.0,192.0,2304.0
loop_-7637536#1_0,46.0,40.0,2400.0,61.0,60.0,3600.0,15.0,20.0,1200.0
loop_119880451_0,344.0,344.0,4128.0,227.0,227.0,2724.0,-117.0,-117.0,-1404.0
loop_119880453#0_0,84.0,84.0,5040.0,110.0,110.0,6600.0,26.0,26.0,1560.0
loop_1246214209#0_0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
loop_1246214209#0_1,23.0,22.0,1320.0,33.0,33.0,1980.0,10.0,11.0,660.0
loop_1246214209#0_2,8.0,8.0,480.0,7.0,7.0,420.0,-1.0,-1.0,-60.0
loop_1286470869#0_0,278.0,278.0,16680.0,331.0,331.0,19860.0,53.0,53.0,3180.0
loop_624515490#0_0,48.0,45.0,2700.0,36.0,35.0,2100.0,-12.0,-10.0,-600.0
loop_624515490#0_1,3.0,1.0,60.0,3.0,1.0,60.0,0.0,0.0,0.0
loop_624515490#0_2,64.0,56.0,3360.0,59.0,55.0,3300.0,-5.0,-1.0,-60.0
loop_624515490#0_3,32.0,32.0,1920.0,23.0,23.0,1380.0,-9.0,-9.0,-540.0
loop_624523286_1,372.0,370.0,4440.0,221.0,219.0,2628.0,-151.0,-151.0,-1812.0
loop_867177333_0,406.0,405.0,24300.0,282.0,282.0,16920.0,-124.0,-123.0,-7380.0
loop_867177333_1,294.0,294.0,17640.0,149.0,149.0,8940.0,-145.0,-145.0,-8700.0
