metric,baseline,new,delta (new - base)
Simulation end time (s),3599.0,3599.0,0.0
Total arrived vehicles,1113.0,1108.0,-5.0
Total teleports,19.0,13.0,-6.0
Vehicles still running at end,115.0,120.0,5.0
Vehicles waiting at end,4464.0,4464.0,0.0
Avg. mean speed over steps (m/s),0.9609972222222223,0.9709138888888889,0.009916666666666574
Mean travel time at end (s),296.66,314.91,18.25
Avg. mean waiting time over steps (s),553.5320944444445,557.4361444444444,3.90404999999987
# summary steps,3600.0,3600.0,0.0
Detector interval rows,996.0,996.0,0.0
Detector count,19.0,19.0,0.0
Total nVehEntered across detectors,2698.0,2689.0,-9.0
Total nVehContrib across detectors,2663.0,2653.0,-10.0
Avg detector speed over intervals (m/s),6.603138297872336,6.2571009771986965,-0.34603732067363957
