id,nVehEntered_base,nVehContrib_base,flow_base,nVehEntered_new,nVehContrib_new,flow_new,delta_nVehEntered,delta_nVehContrib,delta_flow
loop_-1088700963_0,401.0,401.0,24060.0,422.0,422.0,25320.0,21.0,21.0,1260.0
loop_-1286470869#1_0,345.0,345.0,20700.0,365.0,364.0,21840.0,20.0,19.0,1140.0
loop_-13718894_0,130.0,129.0,7740.0,158.0,157.0,9420.0,28.0,28.0,1680.0
loop_-13718894_1,66.0,63.0,3780.0,86.0,83.0,4980.0,20.0,20.0,1200.0
loop_-624523286_0,214.0,193.0,2316.0,115.0,95.0,1140.0,-99.0,-98.0,-1176.0
loop_-7637536#1_0,61.0,60.0,3600.0,70.0,69.0,4140.0,9.0,9.0,540.0
loop_119880451_0,227.0,227.0,2724.0,205.0,205.0,2460.0,-22.0,-22.0,-264.0
loop_119880453#0_0,110.0,110.0,6600.0,143.0,143.0,8580.0,33.0,33.0,1980.0
loop_1246214209#0_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loop_1246214209#0_1,33.0,33.0,1980.0,40.0,40.0,2400.0,7.0,7.0,420.0
loop_1246214209#0_2,7.0,7.0,420.0,10.0,10.0,600.0,3.0,3.0,180.0
loop_1286470869#0_0,331.0,331.0,19860.0,302.0,302.0,18120.0,-29.0,-29.0,-1740.0
loop_624515490#0_0,36.0,35.0,2100.0,39.0,38.0,2280.0,3.0,3.0,180.0
loop_624515490#0_1,3.0,1.0,60.0,7.0,4.0,240.0,4.0,3.0,180.0
loop_624515490#0_2,59.0,55.0,3300.0,77.0,73.0,4380.0,18.0,18.0,1080.0
loop_624515490#0_3,23.0,23.0,1380.0,30.0,30.0,1800.0,7.0,7.0,420.0
loop_624523286_1,221.0,219.0,2628.0,224.0,222.0,2664.0,3.0,3.0,36.0
loop_867177333_0,282.0,282.0,16920.0,260.0,260.0,15600.0,-22.0,-22.0,-1320.0
loop_867177333_1,149.0,149.0,8940.0,136.0,136.0,8160.0,-13.0,-13.0,-780.0
