DateTime,Detector_ID,Lane,hour,day,dayofweek,month,year,is_weekend,Direction
2024-10-05 21:00:00,2906,3,0,21,5,5,10,2024,1
2024-10-05 21:00:00,2906,1,1,21,5,5,10,2024,1
2024-10-05 21:00:00,2906,7,3,21,5,5,10,2024,1
2024-10-06 01:00:00,2906,2,2,1,6,6,10,2024,1
2024-10-06 04:00:00,2906,1,1,4,6,6,10,2024,1
2024-10-06 09:00:00,2906,3,0,9,6,6,10,2024,1
2024-10-06 09:00:00,2906,1,1,9,6,6,10,2024,1
2024-10-06 10:00:00,2906,4,3,10,6,6,10,2024,1
2024-10-06 11:00:00,2906,2,2,11,6,6,10,2024,1
2024-10-06 11:00:00,2906,1,1,11,6,6,10,2024,1
2024-10-06 15:00:00,2906,6,3,15,6,6,10,2024,1
2024-10-06 15:00:00,2906,4,3,15,6,6,10,2024,1
2024-10-06 18:00:00,2906,2,2,18,6,6,10,2024,1
2024-10-06 19:00:00,2906,4,3,19,6,6,10,2024,1
2024-10-06 22:00:00,2906,1,1,22,6,6,10,2024,1
2024-10-06 23:00:00,2906,9,0,23,6,6,10,2024,1
2024-10-06 23:00:00,2906,3,0,23,6,6,10,2024,1
2024-10-06 23:00:00,2906,2,2,23,6,6,10,2024,1
2024-10-07 01:00:00,2906,4,3,1,7,0,10,2024,0
2024-10-07 02:00:00,2906,4,3,2,7,0,10,2024,0
2024-10-07 02:00:00,2906,8,2,2,7,0,10,2024,0
2024-10-07 02:00:00,2906,6,3,2,7,0,10,2024,0
2024-10-07 02:00:00,2906,5,3,2,7,0,10,2024,0
2024-10-07 04:00:00,2906,4,3,4,7,0,10,2024,0
2024-10-07 08:00:00,2906,5,3,8,7,0,10,2024,0
2024-10-07 11:00:00,2906,7,3,11,7,0,10,2024,0
2024-10-07 12:00:00,2906,6,3,12,7,0,10,2024,0
2024-10-07 14:00:00,2906,4,3,14,7,0,10,2024,0
2024-10-07 18:00:00,2906,8,2,18,7,0,10,2024,0
2024-10-07 20:00:00,2906,4,3,20,7,0,10,2024,0
2024-10-07 21:00:00,2906,5,3,21,7,0,10,2024,0
2024-10-07 22:00:00,2906,4,3,22,7,0,10,2024,0
2024-10-07 23:00:00,2906,8,2,23,7,0,10,2024,0
2024-10-07 23:00:00,2906,7,3,23,7,0,10,2024,0
2024-10-08 01:00:00,2906,9,0,1,8,1,10,2024,0
2024-10-08 04:00:00,2906,1,1,4,8,1,10,2024,0
2024-10-08 05:00:00,2906,6,3,5,8,1,10,2024,0
2024-10-08 06:00:00,2906,5,3,6,8,1,10,2024,0
2024-10-08 06:00:00,2906,8,2,6,8,1,10,2024,0
2024-10-08 08:00:00,2906,9,0,8,8,1,10,2024,0
2024-10-08 08:00:00,2906,3,0,8,8,1,10,2024,0
2024-10-08 08:00:00,2906,5,3,8,8,1,10,2024,0
2024-10-08 10:00:00,2906,6,3,10,8,1,10,2024,0
2024-10-08 10:00:00,2906,4,3,10,8,1,10,2024,0
2024-10-08 11:00:00,2906,1,1,11,8,1,10,2024,0
2024-10-08 12:00:00,2906,2,2,12,8,1,10,2024,0
2024-10-08 14:00:00,2906,7,3,14,8,1,10,2024,0
2024-10-08 14:00:00,2906,4,3,14,8,1,10,2024,0
2024-10-08 15:00:00,2906,5,3,15,8,1,10,2024,0
2024-10-08 19:00:00,2906,1,1,19,8,1,10,2024,0
2024-10-08 20:00:00,2906,8,2,20,8,1,10,2024,0
2024-10-08 22:00:00,2906,8,2,22,8,1,10,2024,0
2024-10-08 22:00:00,2906,1,1,22,8,1,10,2024,0
2024-10-09 00:00:00,2906,9,0,0,9,2,10,2024,0
2024-10-09 06:00:00,2906,7,3,6,9,2,10,2024,0
2024-10-09 06:00:00,2906,6,3,6,9,2,10,2024,0
2024-10-09 07:00:00,2906,1,1,7,9,2,10,2024,0
2024-10-09 07:00:00,2906,2,2,7,9,2,10,2024,0
2024-10-09 08:00:00,2906,7,3,8,9,2,10,2024,0
2024-10-09 10:00:00,2906,4,3,10,9,2,10,2024,0
2024-10-09 14:00:00,2906,5,3,14,9,2,10,2024,0
2024-10-09 15:00:00,2906,6,3,15,9,2,10,2024,0
2024-10-09 16:00:00,2906,6,3,16,9,2,10,2024,0
2024-10-09 16:00:00,2906,4,3,16,9,2,10,2024,0
2024-10-09 19:00:00,2906,9,0,19,9,2,10,2024,0
2024-10-09 20:00:00,2906,4,3,20,9,2,10,2024,0
2024-10-09 21:00:00,2906,3,0,21,9,2,10,2024,0
2024-10-10 00:00:00,2906,4,3,0,10,3,10,2024,0
2024-10-10 03:00:00,2906,2,2,3,10,3,10,2024,0
2024-10-10 05:00:00,2906,1,1,5,10,3,10,2024,0
2024-10-10 07:00:00,2906,9,0,7,10,3,10,2024,0
2024-10-10 11:00:00,2906,1,1,11,10,3,10,2024,0
2024-10-10 12:00:00,2906,4,3,12,10,3,10,2024,0
2024-10-10 14:00:00,2906,2,2,14,10,3,10,2024,0
2024-10-10 15:00:00,2906,9,0,15,10,3,10,2024,0
2024-10-10 16:00:00,2906,3,0,16,10,3,10,2024,0
