metric,baseline,new,delta (new - base)
Simulation end time (s),3599.0,3599.0,0.0
Total arrived vehicles,1647.0,1113.0,-534.0
Total teleports,58.0,19.0,-39.0
Vehicles still running at end,129.0,115.0,-14.0
Vehicles waiting at end,3916.0,4464.0,548.0
Avg. mean speed over steps (m/s),1.3233,0.9609972222222223,-0.36230277777777764
Mean travel time at end (s),222.94,296.66,73.72000000000003
Avg. mean waiting time over steps (s),359.35250833333333,553.5320944444445,194.17958611111118
# summary steps,3600.0,3600.0,0.0
Detector interval rows,996.0,996.0,0.0
Detector count,19.0,19.0,0.0
Total nVehEntered across detectors,3986.0,2698.0,-1288.0
Total nVehContrib across detectors,3947.0,2663.0,-1284.0
Avg detector speed over intervals (m/s),7.496237006237009,6.603138297872336,-0.8930987083646729
