id,nVehEntered_base,nVehContrib_base,flow_base,nVehEntered_new,nVehContrib_new,flow_new,delta_nVehEntered,delta_nVehContrib,delta_flow
loop_-1088700963_0,1008.0,1008.0,60480.0,286.0,286.0,17160.0,-722.0,-722.0,-43320.0
loop_-1286470869#1_0,786.0,786.0,47160.0,338.0,338.0,20280.0,-448.0,-448.0,-26880.0
loop_-13718894_0,106.0,103.0,6180.0,266.0,265.0,15900.0,160.0,162.0,9720.0
loop_-13718894_1,72.0,70.0,4200.0,130.0,129.0,7740.0,58.0,59.0,3540.0
loop_-624523286_0,11.0,1.0,12.0,245.0,218.0,2616.0,234.0,217.0,2604.0
loop_-7637536#1_0,46.0,40.0,2400.0,159.0,158.0,9480.0,113.0,118.0,7080.0
loop_119880451_0,344.0,344.0,4128.0,255.0,255.0,3060.0,-89.0,-89.0,-1068.0
loop_119880453#0_0,84.0,84.0,5040.0,255.0,255.0,15300.0,171.0,171.0,10260.0
loop_1246214209#0_0,1.0,0.0,0.0,1.0,1.0,60.0,0.0,1.0,60.0
loop_1246214209#0_1,23.0,22.0,1320.0,79.0,77.0,4620.0,56.0,55.0,3300.0
loop_1246214209#0_2,8.0,8.0,480.0,25.0,24.0,1440.0,17.0,16.0,960.0
loop_1286470869#0_0,278.0,278.0,16680.0,496.0,496.0,29760.0,218.0,218.0,13080.0
loop_624515490#0_0,48.0,45.0,2700.0,43.0,42.0,2520.0,-5.0,-3.0,-180.0
loop_624515490#0_1,3.0,1.0,60.0,12.0,6.0,360.0,9.0,5.0,300.0
loop_624515490#0_2,64.0,56.0,3360.0,111.0,109.0,6540.0,47.0,53.0,3180.0
loop_624515490#0_3,32.0,32.0,1920.0,40.0,40.0,2400.0,8.0,8.0,480.0
loop_624523286_1,372.0,370.0,4440.0,269.0,268.0,3216.0,-103.0,-102.0,-1224.0
loop_867177333_0,406.0,405.0,24300.0,337.0,337.0,20220.0,-69.0,-68.0,-4080.0
loop_867177333_1,294.0,294.0,17640.0,133.0,133.0,7980.0,-161.0,-161.0,-9660.0
